"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Acanthoceras zachariasii","Anathece clathrata","Aphanizomenon flosaquae","Asterionella formosa","Aulacoseira alpigena","Aulacoseira ambigua","Aulacoseira distans","Aulacoseira islandica","Aulacoseira italica","Aulomonas purdyi","Belonastrum berolinensis","Bicosoeca ainikkiae","Bitrichia chodatii","Botryococcus braunii","Ceratium hirundinella","Chrysidiastrum catenatum","Chrysolykos planctonicus","Closterium acutum","Closterium gracile","Closterium pronum","Crucigenia tetrapedia","Cryptomonas marssonii","Cyclotella stelligera","Desmodesmus aculeolatus","Desmodesmus armatus","Desmodesmus bicellularis","Dinobryon acuminatum","Dinobryon bavaricum","Dinobryon borgei","Dinobryon crenulatum","Dinobryon divergens","Dinobryon suecicum","Dolichospermum flosaquae","Dolichospermum lemmermannii","Elakatothrix gelatinosa","Elakatothrix genevensis","Fragilaria crotonensis","Gonyostomum semen","Gyromitus cordiformis","Katablepharis ovalis","Kephyrion boreale","Kephyrion ovale","Koliella spiculiformis","Lanceola spatulifera","Mallomonas akrokomos","Mallomonas caudata","Mallomonas crassisquama","Mallomonas punctifera","Mallomonas tonsurata","Melosira varians","Merismopedia warmingiana","Monoraphidium contortum","Monoraphidium dybowskii","Mucidosphaerium pulchellum","Nitzschia acicularis","Parvodinium inconspicuum","Paulschulzia pseudovolvox","Pediastrum duplex","Planktothrix agardhii","Pseudodidymocystis inconspicua","Pseudosphaerocystis lacustris","Rhizosolenia longiseta","Rhodomonas lacustris","Salpingoeca frequentissima","Snowella atomus","Sphaerocystis schroeteri","Spondylosium planum","Staurastrum avicula","Staurastrum cingulum","Staurastrum paradoxum","Stauridium privum","Stelexomonas dichotoma","Tabellaria fenestrata","Tabellaria flocculosa","Trachelomonas hispida","Trachelomonas volvocinopsis","Ulnaria delicatissima","Ulnaria ulna","Urosolenia eriensis","Woronichinia naegeliana"
"phytoplankton_dec_2_MB_SampleID_11",684006.000000099,6985079.00000704,1991,943.452592849731,2.75833323597908,189,0.268333333333333,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_12",684006.000006533,6985079.00000836,1992,791.167198181152,2.85833329955737,215,0.580833333333333,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_13",684006.000009775,6985079.00000571,1993,843.17928981781,1.7416667472571,201,0.179166666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_14",684006.000009544,6985079.00000499,1994,805.117984771728,2.12500007947286,190,0.575833333333333,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_15",684006.000001166,6985079.00000539,1995,803.414377212524,3.08333339293797,203,-0.0808333333333333,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_16",684006.000009492,6985079.00000248,1996,786.268934249878,2.21666673322519,174,-0.214166666666667,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_17",684006.000003746,6985079.00000405,1997,711.114377975464,2.19166648884615,211,-0.156666666666667,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"phytoplankton_dec_2_MB_SampleID_18",406506.000005772,6994767.00000221,1995,645.092303276062,3.54166667660077,180,-0.0808333333333333,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"phytoplankton_dec_2_MB_SampleID_19",330315.000001794,7001550.00000061,1988,675.797109603881,3.31666672229767,172,-0.0133333333333333,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"phytoplankton_dec_2_MB_SampleID_20",330315.000005494,7001550.00000949,1989,798.651079177857,4.98333331445853,129,0.701666666666667,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1
"phytoplankton_dec_2_MB_SampleID_21",330315.000004576,7001550.00000682,1990,684.684169769287,4.44166663102806,116,0.594166666666667,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
"phytoplankton_dec_2_MB_SampleID_22",330315.000000443,7001550.00000377,1991,690.47465133667,3.95833342274029,136,0.268333333333333,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
"phytoplankton_dec_2_MB_SampleID_23",330315.000001088,7001550.00000471,1992,762.035910606383,4.00833335705101,183,0.580833333333333,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_24",330315.00000586,7001550.00000475,1993,649.726609230042,3.43333334724108,165,0.179166666666667,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_25",330315.000005476,7001550.00000892,1994,536.808532238007,3.05833341677984,173,0.575833333333333,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_26",330315.000007634,7001550.00000373,1995,597.944427490234,3.91666662196319,180,-0.0808333333333333,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1
"phytoplankton_dec_2_MB_SampleID_27",330315.000006223,7001550.00000558,1996,670.448837280274,2.89166670230528,161,-0.214166666666667,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1
"phytoplankton_dec_2_MB_SampleID_28",333538.000005361,7014812.0000068,1988,654.497430801391,3.26666667064031,171,-0.0133333333333333,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1
"phytoplankton_dec_2_MB_SampleID_29",333538.000004697,7014812.00000067,1990,666.495076179505,4.33333323212962,112,0.594166666666667,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
"phytoplankton_dec_2_MB_SampleID_30",645335.000001981,7019025.00000346,1990,643.136823654175,2.95833338300388,172,0.594166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_31",323692.000000633,7036495.00000805,1990,627.665215492249,4.14999990661939,121,0.594166666666667,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"phytoplankton_dec_2_MB_SampleID_32",393050.000001665,7046156.00000516,1988,651.375608444214,2.79999996721745,174,-0.0133333333333333,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1
"phytoplankton_dec_2_MB_SampleID_33",393050.000004641,7046156.0000047,1989,725.424755096436,4.45833324889342,147,0.701666666666667,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"phytoplankton_dec_2_MB_SampleID_34",393050.00000689,7046156.00000277,1990,551.322287559509,3.78333328912656,135,0.594166666666667,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1
"phytoplankton_dec_2_MB_SampleID_35",393050.000007389,7046156.00000417,1991,697.613856315612,3.29166664679845,136,0.268333333333333,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
"phytoplankton_dec_2_MB_SampleID_36",393050.000004375,7046156.00000203,1992,730.823745727539,3.41666676600774,201,0.580833333333333,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1
"phytoplankton_dec_2_MB_SampleID_37",393050.000009116,7046156.0000032,1993,588.804737567901,2.71666662891706,176,0.179166666666667,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_38",449059.000000054,7046197.00000884,1988,729.834030151367,2.59999996423722,186,-0.0133333333333333,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
"phytoplankton_dec_2_MB_SampleID_39",449059.00000067,7046197.00000875,1989,792.61181640625,4.41666668405136,157,0.701666666666667,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
"phytoplankton_dec_2_MB_SampleID_40",449059.000002283,7046197.00000229,1990,715.365527153016,3.54166662444671,149,0.594166666666667,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_41",449059.000000546,7046197.00000831,1992,842.554057121277,3.21666667362054,205,0.580833333333333,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_42",449059.000002264,7046197.00000624,1993,685.412355422973,2.39166661103567,200,0.179166666666667,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_43",449059.000008604,7046197.00000574,1995,740.795887947083,3.07500006258488,197,-0.0808333333333333,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"phytoplankton_dec_2_MB_SampleID_44",449059.000009117,7046197.00000185,1997,767.069585800171,2.74999996026357,211,-0.156666666666667,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_45",450548.000008551,7058692.00000203,1990,685.539151191711,3.45000000546376,160,0.594166666666667,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
"phytoplankton_dec_2_MB_SampleID_46",462643.000000866,7099826.00000569,1990,595.620140075684,3.20833328117927,155,0.594166666666667,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"phytoplankton_dec_2_MB_SampleID_47",542661.000001776,7122120.00000947,1989,753.217994689942,3.83333328862985,163,0.701666666666667,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
"phytoplankton_dec_2_MB_SampleID_48",621637.000005086,7125331.00000663,1989,694.303157806397,3.52500001589457,175,0.701666666666667,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0
"phytoplankton_dec_2_MB_SampleID_49",621637.000001723,7125331.00000521,1993,740.25403213501,1.05833320319652,213,0.179166666666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"phytoplankton_dec_2_MB_SampleID_50",621637.000004692,7125331.00000154,1995,703.293802261352,2.26666676998139,210,-0.0808333333333333,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
"phytoplankton_dec_2_MB_SampleID_51",621637.000000201,7125331.00000908,1996,791.806500434876,1.58333331346511,191,-0.214166666666667,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"phytoplankton_dec_2_MB_SampleID_52",499538.000006537,7144368.00000768,1994,580.897760868073,1.6916666229566,188,0.575833333333333,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"phytoplankton_dec_2_MB_SampleID_53",499538.000009381,7144368.00000575,1996,638.809093475342,1.85833331570029,189,-0.214166666666667,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
