"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Anathece clathrata","Asterionella formosa","Aulacoseira alpigena","Aulacoseira ambigua","Aulacoseira distans","Aulacoseira islandica","Aulacoseira italica","Bicosoeca planctonica","Bitrichia chodatii","Botryococcus braunii","Ceratium hirundinella","Chrysidiastrum catenatum","Chrysolykos planctonicus","Cryptomonas marssonii","Cyclotella meneghiniana","Cyclotella radiosa","Dinobryon bavaricum","Dinobryon borgei","Dinobryon crenulatum","Dinobryon divergens","Dinobryon sociale","Dinobryon suecicum","Dolichospermum lemmermannii","Elakatothrix gelatinosa","Elakatothrix genevensis","Fragilaria crotonensis","Gyromitus cordiformis","Katablepharis ovalis","Kephyrion ovale","Kephyrion skujae","Kephyrion spirale","Koliella longiseta","Koliella spiculiformis","Mallomonas akrokomos","Mallomonas caudata","Mallomonas punctifera","Mallomonas tonsurata","Monoraphidium contortum","Monoraphidium dybowskii","Mucidosphaerium pulchellum","Parvodinium umbonatum","Paulschulzia pseudovolvox","Planktothrix agardhii","Pseudodidymocystis inconspicua","Pseudokephyrion entzii","Pseudosphaerocystis lacustris","Rhizosolenia longiseta","Rhodomonas lacustris","Snowella atomus","Spondylosium planum","Synedra ulna","Tabellaria fenestrata","Tabellaria flocculosa","Tetraedron minimum","Trachelomonas hispida","Trachelomonas volvocinopsis","Ulnaria delicatissima","Ulnaria ulna","Urosolenia eriensis","Woronichinia naegeliana"
"phytoplankton_dec_2_NB_SampleID_30",489512.000005676,7539030.00000894,1989,686.695407867431,0.741666634877516,216,0.701666666666667,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0
"phytoplankton_dec_2_NB_SampleID_31",489512.000006695,7539030.00000161,1990,499.373122215271,-0.066666667660074,205,0.594166666666667,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
"phytoplankton_dec_2_NB_SampleID_32",489512.000007176,7539030.00000035,1991,539.287250041962,-1.02499997988343,219,0.268333333333333,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0
"phytoplankton_dec_2_NB_SampleID_33",489512.000002105,7539030.00000288,1992,758.099879264832,-0.200000087420146,221,0.580833333333333,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
"phytoplankton_dec_2_NB_SampleID_34",489512.000000564,7539030.00000674,1993,523.171206474304,-1.18333341677983,227,0.179166666666667,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_35",489512.000008297,7539030.00000072,1994,439.806586265564,-0.841666748126349,214,0.575833333333333,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
"phytoplankton_dec_2_NB_SampleID_36",489512.000000205,7539030.00000275,1995,629.800966262817,-1.09166664381822,223,-0.0808333333333333,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
"phytoplankton_dec_2_NB_SampleID_37",489512.00000866,7539030.00000552,1996,459.043698310852,-0.98333327968915,227,-0.214166666666667,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0
"phytoplankton_dec_2_NB_SampleID_38",489512.000005096,7539030.00000272,1997,338.828813552856,-0.800000001986811,225,-0.156666666666667,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
"phytoplankton_dec_2_NB_SampleID_39",517021.000001198,7542948.00000891,1994,548.54712677002,-0.79166666666666,213,0.575833333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1
"phytoplankton_dec_2_NB_SampleID_40",382264.000009172,7548817.00000373,1990,613.968600273132,-0.408333217104275,196,0.594166666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_41",490232.000002845,7548946.00000663,1994,487.385286331177,-0.850000063578283,219,0.575833333333333,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
"phytoplankton_dec_2_NB_SampleID_42",551993.000006427,7639992.00000107,1994,522.973238945007,-0.091666671137017,215,0.575833333333333,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_43",538233.000007,7653144.00000242,1992,789.854533672332,0.533333341280611,218,0.580833333333333,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
"phytoplankton_dec_2_NB_SampleID_44",552745.000008575,7671388.00000796,1988,539.059729576112,-1.43333330750465,207,-0.0133333333333333,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_45",552745.000009531,7671388.00000632,1989,620.242671966553,1.39166658744216,214,0.701666666666667,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_46",552745.000006881,7671388.00000271,1990,407.975820541382,0.733333254853879,198,0.594166666666667,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_47",552745.000002718,7671388.00000573,1991,530.752505779266,-0.124999960263578,206,0.268333333333333,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_48",552745.000005189,7671388.00000381,1992,789.998434543609,0.325000087420149,219,0.580833333333333,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_49",552745.000003283,7671388.00000118,1993,551.053432941438,-0.724999894698455,227,0.179166666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_50",552745.000002586,7671388.00000715,1994,474.565189361573,-0.424999959766864,214,0.575833333333333,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1
"phytoplankton_dec_2_NB_SampleID_51",552745.000009164,7671388.00000418,1995,648.307931423187,-0.983333398898444,220,-0.0808333333333333,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"phytoplankton_dec_2_NB_SampleID_52",552745.000007927,7671388.00000514,1997,401.728582382202,-0.749999924252427,227,-0.156666666666667,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
